date,value
20110727,7
20070526,11
20070103,5
20140311,9
20110713,5
20110521,6
20060520,7
20060414,5
20200507,3
20110831,9
20160826,4
20111002,5
20120319,9
20111227,5
20170611,7
20191012,4
20120707,10
20160828,14
20200802,14
20081117,8
20140121,2
20200430,3
20071104,9
20070801,7
20160210,2
20080727,11
20130731,2
20070217,4
20100222,6
20191013,2
20070925,7
20080106,3
20201104,4
20190902,8
20090628,13
20150129,2
20080417,4
20080823,11
20140616,5
20061006,5
20060831,12
20101009,6
20111003,3
20200320,4
20080816,9
20110424,4
20120317,6
20120521,5
20180111,1
20090630,6
20120526,10
20080429,7
20140214,4
20200912,12
20060810,2
20110902,8
20101213,6
20190812,3
20120414,9
20090121,2
20170408,3
20060912,1
20090426,16
20100704,10
20060924,8
20120912,1
20140511,7
20060927,3
20060914,6
20161016,7
20121013,7
20060523,6
20130705,12
20190723,2
20170714,4
20171112,2
20130226,1
20201020,5
20071125,8
20180501,6
20110826,6
20170514,5
20131123,5
20200804,2
20140618,5
20121229,5
20150112,6
20090202,2
20080914,11
20071210,3
20120416,5
20130713,3
20090226,1
20120802,6
20111203,7
20100601,5
20200102,6
20080810,7
20061027,5
20071031,5
20140219,1
20070915,9
20130505,5
20080904,2
20190825,6
20101024,4
20150615,4
20110703,6
20060402,4
20150415,5
20061126,9
20110923,4
20160705,3
20140528,1
20070916,4
20150902,3
20171001,2
20150713,10
20200910,5
20061115,6
20091108,4
20110821,10
20060902,4
20201025,4
20130601,5
20150531,4
20060820,10
20170220,5
20090621,5
20060310,2
20150522,3
20111101,3
20060814,5
20090402,6
20070616,7
20200603,4
20170114,1
20160812,1
20110610,5
20091121,3
20131012,3
20100512,2
20080621,9
20170403,3
20100612,6
20110611,5
20060710,5
20090517,6
20090819,5
20060408,5
20110524,7
20080508,4
20190804,3
20090911,3
20080908,3
20081023,3
20091218,5
20110130,2
20100522,8
20160330,1
20200731,5
20180913,2
20081026,3
20061117,4
20200704,8
20200114,1
20170429,3
20061008,6
20100415,5
20090212,2
20080628,10
20080118,5
20070929,3
20200601,9
20110808,7
20140810,9
20091205,4
20070810,3
20090531,5
20140710,2
20060827,8
20150822,6
20080719,9
20120623,4
20140926,9
20180729,7
20150514,3
20080129,2
20150816,6
20140411,2
20060102,3
20181228,4
20061205,6
20080105,6
20120705,12
20181127,5
20150623,4
20120522,5
20081228,8
20200908,7
20150725,5
20070527,8
20180227,3
20090824,5
20200619,8
20150720,5
20070413,3
20110704,7
20160516,3
20121217,4
20080528,4
20200606,6
20101107,5
20111031,5
20130511,3
20100301,1
20090816,10
20090404,6
20140817,8
20150517,6
20100226,5
20171107,2
20061001,10
20081015,3
20160816,8
20060517,4
20120629,13
20130615,4
20141202,2
20120218,6
20111125,5
20200717,6
20120628,8
20160206,2
20111226,6
20130415,4
20061221,6
20110519,7
20090620,10
20140315,5
20200628,8
20070820,3
20060606,2
20180122,2
20160310,5
20071216,6
20200608,5
20070531,4
20100723,5
20090307,3
20080531,7
20110830,6
20101129,6
20091201,3
20141227,5
20150204,2
20110705,14
20080606,8
20060528,8
20061224,6
20200709,6
20201103,4
20070930,6
20160105,2
20180823,2
20150926,6
20110708,4
20081027,5
20131110,6
20171020,4
20200420,4
20190105,3
20140418,1
20090209,3
20100806,4
20080524,12
20090514,3
20150823,11
20180131,2
20180508,1
20110917,6
20070707,6
20060715,8
20100306,5
20120620,7
20190929,3
20070313,3
20081214,7
20061119,7
20070212,1
20200617,8
20070913,5
20101113,9
20110512,3
20120724,4
20060425,4
20170516,1
20110909,5
20161014,3
20150412,5
20140428,3
20080824,9
20130825,10
20060109,6
20091111,2
20070826,12
20201019,4
20130220,3
20080724,4
20141112,5
20201228,2
20090601,5
20100125,3
20060605,3
20110101,12
20190703,1
20161125,3
20100602,2
20130813,4
20201204,7
20060123,3
20091030,4
20060909,6
20121202,7
20080706,5
20200705,30
20071030,7
20060424,5
20200826,5
20130428,3
20070124,3
20130717,3
20081003,4
20190131,2
20130525,2
20090428,2
20080707,6
20150201,7
20201114,7
20060101,7
20100526,4
20060904,12
20060728,4
20170222,2
20170818,7
20110608,4
20070726,5
20170208,6
20061203,6
20070602,7
20070711,3
20170723,7
20131020,7
20110715,7
20141225,4
20061009,8
20090528,7
20200728,6
20100412,7
20200801,6
20130816,7
20060510,5
20120915,7
20200217,2
20181029,3
20130209,3
20150106,3
20120922,8
20160113,1
20091202,3
20150119,3
20070721,5
20150513,4
20110426,6
20091210,2
20140122,4
20170702,4
20190302,2
20070228,5
20141113,2
20121227,3
20201220,4
20101007,4
20110804,8
20130914,4
20100509,3
20140703,2
20140525,6
20090520,2
20191104,2
20130818,8
20080315,6
20090624,2
20140402,3
20061122,6
20120505,5
20110211,4
20130118,2
20070708,7
20090615,6
20170106,1
20080805,3
20070805,10
20090702,4
20200814,12
20190722,1
20140531,8
20070421,7
20170618,2
20140913,4
20080828,5
20090211,2
20190222,5
20201224,3
20140726,5
20170729,2
20100717,7
20160416,3
20201026,4
20130724,3
20200713,16
20180618,2
20071012,4
20110615,4
20100320,8
20111118,3
20061214,1
20170630,6
20081225,5
20080414,5
20180717,5
20080202,3
20131103,2
20060714,6
20141201,5
20080713,5
20080522,2
20080722,6
20130101,10
20160813,6
20181220,3
20140615,7
20170205,2
20140517,10
20190615,2
20110503,4
20131019,9
20151229,2
20061028,4
20090315,6
20060722,10
20080730,3
20081124,1
20080906,3
20140507,5
